action step section_index gas_present structure_stable can_check_section m z section structure_safe_flag distance_to_leader lead_retry_count current_speed_lead current_energy_lead current_energy_lead2 send_data section_gas_check gas_detected_flag send_gas_data x distance_gas_detector_to_leader current_speed_gas_detector current_energy_gas_detector section_safety_check structure_ok_flag send_structure_data distance_safety_assessment_to_leader y current_speed_safe_detector current_energy_safe_detector current_section section_safe_to_check section_safe leader_retry_count sending_flag connection_success k current_speed_leader current_energy_leader wait
- 0 0 false true false 0 0 0 true 20 0 20 100 100 false 0 false false 0 20 20 100 0 true false 20 0 20 100 0 false false 0 false false 0 20 100 0
lead_robot 1 0 false true false 0 0 0 true 20 0 20 100 101 false 0 false false 0 20 20 100 0 true false 20 0 20 100 0 false false 0 false false 0 20 100 0
[wait_to_get_from_lead] 2 0 false true false 0 0 0 true 20 0 20 100 101 false 0 false false 0 20 20 100 0 true false 20 0 20 100 0 false false 0 false false 0 20 100 1
lead_robot 3 0 false true false 0 0 0 true 20 0 20 100 101 false 0 false false 0 20 20 100 0 true false 20 0 20 100 0 false false 0 false false 0 20 100 1
[initialize_section1] 4 0 true true true 1 1 0 true 20 0 20 100 101 false 0 false false 0 20 20 100 0 true false 20 0 20 100 0 false false 0 false false 0 20 100 1
[wait_to_get_from_lead] 5 0 true true true 1 1 0 true 20 0 20 100 101 false 0 false false 0 20 20 100 0 true false 20 0 20 100 0 false false 0 false false 0 20 100 2
lead_robot 6 0 true true true 1 1 0 true 20 0 20 100 101 false 0 false false 0 20 20 100 0 true false 20 0 20 100 0 false false 0 false false 0 20 100 2
lead_robot 7 0 true true true 1 1 0 true 20 0 20 100 101 false 0 false false 0 20 20 100 0 true false 20 0 20 100 0 false false 0 false false 0 20 100 2
lead_robot 8 0 true true true 1 1 0 true 20 0 20 100 101 false 0 false false 0 20 20 100 0 true false 20 0 20 100 0 false false 0 false false 0 20 100 2
lead_robot 9 0 true true true 1 1 0 true 20 0 20 100 101 false 0 false false 0 20 20 100 0 true false 20 0 20 100 0 false false 0 false false 0 20 100 2
lead_robot 10 0 true true true 1 1 0 true 20 0 20 100 101 false 0 false false 0 20 20 100 0 true false 20 0 20 100 0 false false 0 false false 0 20 100 2
lead_robot 11 0 true true true 1 1 0 true 20 0 20 100 101 false 0 false false 0 20 20 100 0 true false 20 0 20 100 0 false false 0 false false 0 20 100 2
lead_robot 12 0 true true true 1 1 0 true 20 0 20 100 101 false 0 false false 0 20 20 100 0 true false 20 0 20 100 0 false false 0 false false 0 20 100 2
[check_distance] 13 0 true true true 1 2 0 true 20 0 20 100 101 false 0 false false 0 20 20 100 0 true false 20 0 20 100 0 false false 0 false false 0 20 100 2
lead_robot 14 0 true true true 1 2 0 true 20 0 20 100 101 false 0 false false 0 20 20 100 0 true false 20 0 20 100 0 false false 0 false false 0 20 100 2
[check_env] 15 0 true true true 1 3 0 true 20 0 20 100 101 false 0 false false 0 20 20 100 0 true false 20 0 20 100 0 false false 0 false false 0 20 100 2
lead_robot 16 0 true true true 1 3 0 true 20 0 20 100 101 false 0 false false 0 20 20 100 0 true false 20 0 20 100 0 false false 0 false false 0 20 100 2
[lead_safe_signal1] 17 0 true true true 1 4 0 true 20 0 20 100 101 false 0 false false 0 20 20 100 0 true false 20 0 20 100 0 false false 0 false false 0 20 100 2
[wait_to_get_from_lead] 18 0 true true true 1 4 0 true 20 0 20 100 101 false 0 false false 0 20 20 100 0 true false 20 0 20 100 0 false false 0 false false 0 20 100 3
[wait_to_get_from_lead] 19 0 true true true 1 4 0 true 20 0 20 100 101 false 0 false false 0 20 20 100 0 true false 20 0 20 100 0 false false 0 false false 0 20 100 4
[checkconnection] 20 0 true true true 1 5 0 true 20 0 20 100 101 true 0 false false 0 20 20 100 0 true false 20 0 20 100 0 false false 0 false false 0 20 100 4
[lead_safe_signal] 21 0 true true true 1 5 0 true 20 0 20 100 101 true 0 false false 0 20 20 100 0 true false 20 0 20 100 0 true false 0 false false 1 20 100 4
[wait_to_get] 22 0 true true true 1 5 0 true 20 0 20 100 101 true 0 false false 0 20 20 100 0 true false 20 0 20 100 0 true false 0 false false 1 20 100 5
[initialize_section] 23 0 true true true 1 5 0 true 20 0 20 100 101 true 0 false false 1 20 20 100 0 true false 20 1 20 100 0 true false 0 false false 1 20 100 5
[wait_to_get] 24 0 true true true 1 5 0 true 20 0 20 100 101 true 0 false false 1 20 20 100 0 true false 20 1 20 100 0 true false 0 false false 1 20 100 6
lead_robot 25 0 true true true 1 5 0 true 20 0 20 100 101 true 0 false false 1 20 20 100 0 true false 20 1 20 100 0 true false 0 false false 1 20 100 6
[check_distance_safety_assessment] 26 0 true true true 1 5 0 true 20 0 20 100 101 true 0 false false 1 20 20 100 0 true false 20 2 20 100 0 true false 0 false false 1 20 100 6
[wait_to_get] 27 0 true true true 1 5 0 true 20 0 20 100 101 true 0 false false 1 20 20 100 0 true false 20 2 20 100 0 true false 0 false false 1 20 100 7
[check_safety] 28 0 true true true 1 5 0 true 20 0 20 100 101 true 0 false false 1 20 20 100 0 true true 20 3 20 100 0 true false 0 false false 1 20 100 7
lead_robot 29 0 true true true 1 5 0 true 20 0 20 100 101 true 0 false false 1 20 20 100 0 true true 20 3 20 100 0 true false 0 false false 1 20 100 7
[check_distance_gas_detecter] 30 0 true true true 1 5 0 true 20 0 20 100 101 true 0 false false 2 20 20 100 0 true true 20 3 20 100 0 true false 0 false false 1 20 100 7
[check_gas] 31 0 true true true 1 5 0 true 20 0 20 100 101 true 0 false true 3 20 20 100 0 true true 20 3 20 100 0 true false 0 false false 1 20 100 7
lead_robot 32 0 true true true 1 5 0 true 20 0 20 100 101 true 0 false true 3 20 20 100 0 true true 20 3 20 100 0 true false 0 false false 1 20 100 7
[safe_signal12] 33 0 true true true 1 5 0 true 20 0 20 100 101 true 0 false true 3 20 20 100 0 true true 20 3 20 100 0 true true 0 true false 3 20 100 7
[send_data] 34 0 true true true 1 5 0 true 20 0 20 100 101 true 0 false true 3 20 20 100 0 true true 20 3 20 100 0 true true 0 true true 4 20 100 7
[next_section] 35 1 true true true 0 0 1 false 20 0 20 100 101 false 1 false false 0 20 20 100 1 true false 20 0 20 100 1 false false 0 false false 0 20 100 0
[initialize_section1] 36 1 true true true 1 1 1 false 20 0 20 100 101 false 1 false false 0 20 20 100 1 true false 20 0 20 100 1 false false 0 false false 0 20 100 0
[check_distance] 37 1 true true true 1 2 1 false 20 0 20 100 101 false 1 false false 0 20 20 100 1 true false 20 0 20 100 1 false false 0 false false 0 20 100 0
[check_env] 38 1 true true true 1 3 1 true 20 0 20 100 101 false 1 false false 0 20 20 100 1 true false 20 0 20 100 1 false false 0 false false 0 20 100 0
lead_robot 39 1 true true true 1 3 1 true 20 0 20 100 101 false 1 false false 0 20 20 100 1 true false 20 0 20 100 1 false false 0 false false 0 20 100 0
[wait_to_get_from_lead] 40 1 true true true 1 3 1 true 20 0 20 100 101 false 1 false false 0 20 20 100 1 true false 20 0 20 100 1 false false 0 false false 0 20 100 1
[lead_safe_signal1] 41 1 true true true 1 4 1 true 20 0 20 100 101 false 1 false false 0 20 20 100 1 true false 20 0 20 100 1 false false 0 false false 0 20 100 1
lead_robot 42 1 true true true 1 4 1 true 20 0 20 100 101 false 1 false false 0 20 20 100 1 true false 20 0 20 100 1 false false 0 false false 0 20 100 1
[wait_to_get_from_lead] 43 1 true true true 1 4 1 true 20 0 20 100 101 false 1 false false 0 20 20 100 1 true false 20 0 20 100 1 false false 0 false false 0 20 100 2
lead_robot 44 1 true true true 1 4 1 true 20 0 20 100 101 false 1 false false 0 20 20 100 1 true false 20 0 20 100 1 false false 0 false false 0 20 100 2
[wait_to_get_from_lead] 45 1 true true true 1 4 1 true 20 0 20 100 101 false 1 false false 0 20 20 100 1 true false 20 0 20 100 1 false false 0 false false 0 20 100 3
[wait_to_get_from_lead] 46 1 true true true 1 4 1 true 20 0 20 100 101 false 1 false false 0 20 20 100 1 true false 20 0 20 100 1 false false 0 false false 0 20 100 4
[checkconnection] 47 1 true true true 1 5 1 true 20 0 20 100 101 true 1 false false 0 20 20 100 1 true false 20 0 20 100 1 false false 0 false false 0 20 100 4
[lead_safe_signal] 48 1 true true true 1 5 1 true 20 0 20 100 101 true 1 false false 0 20 20 100 1 true false 20 0 20 100 1 true false 0 false false 1 20 100 4
[wait_to_get] 49 1 true true true 1 5 1 true 20 0 20 100 101 true 1 false false 0 20 20 100 1 true false 20 0 20 100 1 true false 0 false false 1 20 100 5
[initialize_section] 50 1 true true true 1 5 1 true 20 0 20 100 101 true 1 false false 1 20 20 100 1 true false 20 1 20 100 1 true false 0 false false 1 20 100 5
[check_distance_safety_assessment] 51 1 true true true 1 5 1 true 20 0 20 100 101 true 1 false false 1 20 20 100 1 true false 20 2 20 100 1 true false 0 false false 1 20 100 5
[check_safety] 52 1 true true true 1 5 1 true 20 0 20 100 101 true 1 false false 1 20 20 100 1 false true 20 3 20 100 1 true false 0 false false 1 20 100 5
lead_robot 53 1 true true true 1 5 1 true 20 0 20 100 101 true 1 false false 1 20 20 100 1 false true 20 3 20 100 1 true false 0 false false 1 20 100 5
[check_distance_gas_detecter] 54 1 true true true 1 5 1 true 20 0 20 100 101 true 1 false false 2 20 20 100 1 false true 20 3 20 100 1 true false 0 false false 1 20 100 5
[wait_to_get] 55 1 true true true 1 5 1 true 20 0 20 100 101 true 1 false false 2 20 20 100 1 false true 20 3 20 100 1 true false 0 false false 1 20 100 6
[check_gas] 56 1 true true true 1 5 1 true 20 0 20 100 101 true 1 true true 3 20 20 100 1 false true 20 3 20 100 1 true false 0 false false 1 20 100 6
lead_robot 57 1 true true true 1 5 1 true 20 0 20 100 101 true 1 true true 3 20 20 100 1 false true 20 3 20 100 1 true false 0 false false 1 20 100 6
lead_robot 58 1 true true true 1 5 1 true 20 0 20 100 101 true 1 true true 3 20 20 100 1 false true 20 3 20 100 1 true false 0 false false 1 20 100 6
[unsafe_signal12] 59 1 true true true 1 5 1 true 20 0 20 100 101 true 1 true true 3 20 20 100 1 false true 20 3 20 100 1 true false 0 true false 3 20 100 6
lead_robot 60 1 true true true 1 5 1 true 20 0 20 100 101 true 1 true true 3 20 20 100 1 false true 20 3 20 100 1 true false 0 true false 3 20 100 6
lead_robot 61 1 true true true 1 5 1 true 20 0 20 100 101 true 1 true true 3 20 20 100 1 false true 20 3 20 100 1 true false 0 true false 3 20 100 6
[send_data] 62 1 true true true 1 5 1 true 20 0 20 100 101 true 1 true true 3 20 20 100 1 false true 20 3 20 100 1 true false 0 true true 4 20 100 6
lead_robot 63 1 true true true 1 5 1 true 20 0 20 100 101 true 1 true true 3 20 20 100 1 false true 20 3 20 100 1 true false 0 true true 4 20 100 6
lead_robot 64 1 true true true 1 5 1 true 20 0 20 100 101 true 1 true true 3 20 20 100 1 false true 20 3 20 100 1 true false 0 true true 4 20 100 6
lead_robot 65 1 true true true 1 5 1 true 20 0 20 100 101 true 1 true true 3 20 20 100 1 false true 20 3 20 100 1 true false 0 true true 4 20 100 6
lead_robot 66 1 true true true 1 5 1 true 20 0 20 100 101 true 1 true true 3 20 20 100 1 false true 20 3 20 100 1 true false 0 true true 4 20 100 6
lead_robot 67 1 true true true 1 5 1 true 20 0 20 100 101 true 1 true true 3 20 20 100 1 false true 20 3 20 100 1 true false 0 true true 4 20 100 6
lead_robot 68 1 true true true 1 5 1 true 20 0 20 100 101 true 1 true true 3 20 20 100 1 false true 20 3 20 100 1 true false 0 true true 4 20 100 6
lead_robot 69 1 true true true 1 5 1 true 20 0 20 100 101 true 1 true true 3 20 20 100 1 false true 20 3 20 100 1 true false 0 true true 4 20 100 6
[next_section] 70 2 true true true 0 0 2 false 20 0 20 100 101 false 2 false false 0 20 20 100 2 true false 20 0 20 100 2 false false 0 false false 0 20 100 0
[wait_to_get_from_lead] 71 2 true true true 0 0 2 false 20 0 20 100 101 false 2 false false 0 20 20 100 2 true false 20 0 20 100 2 false false 0 false false 0 20 100 1
[wait_to_get_from_lead] 72 2 true true true 0 0 2 false 20 0 20 100 101 false 2 false false 0 20 20 100 2 true false 20 0 20 100 2 false false 0 false false 0 20 100 2
[initialize_section1] 73 2 true true true 1 1 2 false 20 0 20 100 101 false 2 false false 0 20 20 100 2 true false 20 0 20 100 2 false false 0 false false 0 20 100 2
[check_distance] 74 2 true true true 1 2 2 false 20 0 20 100 101 false 2 false false 0 20 20 100 2 true false 20 0 20 100 2 false false 0 false false 0 20 100 2
[check_env] 75 2 true true true 1 3 2 true 20 0 20 100 101 false 2 false false 0 20 20 100 2 true false 20 0 20 100 2 false false 0 false false 0 20 100 2
[wait_to_get_from_lead] 76 2 true true true 1 3 2 true 20 0 20 100 101 false 2 false false 0 20 20 100 2 true false 20 0 20 100 2 false false 0 false false 0 20 100 3
[wait_to_get_from_lead] 77 2 true true true 1 3 2 true 20 0 20 100 101 false 2 false false 0 20 20 100 2 true false 20 0 20 100 2 false false 0 false false 0 20 100 4
[lead_safe_signal1] 78 2 true true true 1 4 2 true 20 0 20 100 101 false 2 false false 0 20 20 100 2 true false 20 0 20 100 2 false false 0 false false 0 20 100 4
[checkconnection] 79 2 true true true 1 5 2 true 20 0 20 100 101 true 2 false false 0 20 20 100 2 true false 20 0 20 100 2 false false 0 false false 0 20 100 4
lead_robot 80 2 true true true 1 5 2 true 20 0 20 100 101 true 2 false false 0 20 20 100 2 true false 20 0 20 100 2 false false 0 false false 0 20 100 4
